transaction_amt,reported_amt,customer_id,invoice_id,transaction_date,currency
745.57,745.32,C00013,INV877572,2026-06-13,USD
609.1,609.13,C00016,INV198246,2026-04-19,USD
127174.39,127174.18,C00302,INV391704,2026-02-26,INR
314.05,314.07,C00048,INV498382,2026-03-28,USD
2087.16,2086.89,C00283,INV407419,2026-04-07,USD
627.07,626.99,C00041,INV996865,2026-02-28,GBP
409.12,379.78,C00360,INV816751,2026-02-23,GBP
1702.29,1794.06,C00394,INV913694,2026-06-25,GBP
103239.42,103239.47,C00203,INV774079,2026-02-24,INR
137261.88,137261.67,C00186,INV329974,2026-05-30,INR
48997.47,48997.74,C00306,INV166613,2026-02-10,INR
1897.12,1783.6,C00350,INV663054,2026-06-24,USD
705.69,732.43,C00260,INV211579,2026-05-09,EUR
2070.06,2069.9,C00251,INV120422,2026-06-03,GBP
1256.1,1182.88,C00044,INV867460,2026-05-26,USD
74823.65,74823.57,C00109,INV665492,2026-05-16,INR
45270.08,45269.82,C00062,INV359947,2026-05-13,INR
2271.12,2270.95,C00118,INV170674,2026-06-11,USD
120321.98,120321.93,C00125,INV922733,2026-02-03,INR
1842.28,1842.06,C00032,INV522179,2026-01-14,USD
1708.37,1773.2,C00237,INV361941,2026-02-16,GBP
525.28,525.57,C00086,INV526156,2026-01-24,EUR
120827.48,120827.29,C00147,INV543555,2026-03-09,INR
1392.11,1392.32,C00297,INV871476,2026-02-25,USD
2140.25,2140.51,C00261,INV184002,2026-02-10,USD
244.62,244.48,C00297,INV723398,2026-05-26,EUR
671.99,671.73,C00123,INV378517,2026-06-21,GBP
595.83,595.75,C00038,INV663750,2026-04-28,USD
97564.62,97564.65,C00279,INV837715,2026-02-10,INR
359.34,359.47,C00069,INV377312,2026-06-19,USD
163.63,163.36,C00259,INV612262,2026-02-22,GBP
1011.11,1061.78,C00327,INV374680,2026-03-27,EUR
1417.11,1417.39,C00190,INV710805,2026-05-20,USD
1651.44,1651.51,C00108,INV815198,2026-01-11,GBP
1947.42,1947.68,C00084,INV938742,2026-02-09,EUR
300.24,300.43,C00137,INV266931,2026-06-21,EUR
108.28,108.5,C00157,INV960394,2026-04-28,GBP
1153.88,1202.62,C00329,INV634150,2026-03-13,GBP
916.56,935.92,C00306,INV555673,2026-01-10,USD
1383.05,1382.79,C00267,INV945687,2026-04-22,USD
1896.1,1896.0,C00320,INV429164,2026-06-20,GBP
833.46,807.21,C00284,INV233470,2026-06-28,GBP
717.39,717.4,C00108,INV550770,2026-03-19,GBP
1686.53,1686.42,C00146,INV640490,2026-02-13,USD
1082.04,1082.12,C00013,INV148458,2026-02-20,EUR
136418.78,136418.54,C00254,INV519066,2026-02-19,INR
1173.25,1173.22,C00091,INV943170,2026-04-19,EUR
1089.75,1089.99,C00387,INV564071,2026-04-29,GBP
96227.47,96227.33,C00133,INV888295,2026-05-02,INR
224.38,224.17,C00121,INV384913,2026-01-20,GBP
880.73,880.89,C00213,INV527398,2026-02-24,USD
1000.52,1000.79,C00392,INV703655,2026-06-28,USD
1104.42,1104.55,C00250,INV330080,2026-04-18,EUR
909.26,909.04,C00319,INV660069,2026-04-30,EUR
520.84,520.99,C00026,INV372793,2026-04-29,EUR
2099.81,2099.98,C00042,INV593152,2026-04-18,GBP
2378.06,2475.97,C00387,INV132537,2026-06-16,USD
1585.77,1586.05,C00393,INV486814,2026-04-30,GBP
1719.18,1791.57,C00160,INV703766,2026-01-28,USD
1214.5,1214.6,C00351,INV729577,2026-06-28,GBP
944.39,944.37,C00007,INV990844,2026-01-18,GBP
165933.09,165933.07,C00091,INV869440,2026-02-09,INR
629.01,629.05,C00166,INV993085,2026-06-01,GBP
67094.37,67094.24,C00173,INV130094,2026-06-21,INR
552.37,552.21,C00285,INV110644,2026-06-02,GBP
47578.4,47578.32,C00230,INV931450,2026-05-02,INR
985.64,985.77,C00218,INV882169,2026-05-22,GBP
2381.12,2381.17,C00381,INV661894,2026-03-22,USD
426.06,425.92,C00052,INV973074,2026-05-15,GBP
269.28,269.27,C00358,INV232413,2026-01-14,GBP
1087.56,1108.41,C00027,INV364742,2026-03-29,EUR
1296.89,1296.9,C00044,INV360247,2026-05-25,GBP
111685.41,111685.68,C00153,INV717113,2026-04-26,INR
580.91,581.02,C00136,INV792509,2026-02-23,EUR
1813.6,1813.46,C00017,INV342720,2026-05-01,GBP
1449.46,1385.66,C00218,INV220351,2026-06-10,EUR
815.9,815.96,C00240,INV822131,2026-04-23,USD
1435.57,1435.28,C00310,INV362529,2026-04-21,GBP
1118.69,1118.99,C00296,INV142185,2026-06-22,GBP
155103.29,155103.41,C00047,INV592841,2026-04-22,INR
25286.28,25286.5,C00390,INV676818,2026-03-15,INR
114446.53,114446.35,C00212,INV156837,2026-01-01,INR
1102.44,1102.57,C00148,INV559398,2026-05-21,EUR
305.57,341.55,C00283,INV527809,2026-03-21,USD
991.84,991.9,C00213,INV975271,2026-05-11,GBP
1991.81,1991.68,C00142,INV910208,2026-02-04,USD
100100.26,100100.15,C00077,INV568238,2026-03-18,INR
1721.91,1722.1,C00293,INV501574,2026-02-18,EUR
2126.2,2125.96,C00254,INV138817,2026-04-09,EUR
1072.15,1072.05,C00370,INV251157,2026-04-27,USD
71501.64,71501.77,C00333,INV184216,2026-06-27,INR
648.14,679.57,C00317,INV171744,2026-05-05,USD
167.96,167.75,C00356,INV414012,2026-04-24,EUR
157396.93,157396.77,C00290,INV814919,2026-05-16,INR
1048.89,1048.76,C00119,INV583550,2026-05-30,EUR
2173.7,2173.67,C00038,INV563187,2026-05-20,EUR
575.25,575.13,C00197,INV994787,2026-03-19,EUR
13582.74,13582.74,C00141,INV108491,2026-06-18,INR
1426.0,1426.1,C00311,INV940886,2026-03-15,EUR
175.4,280.26,C00322,INV777737,2026-02-05,USD
2139.27,2139.12,C00068,INV924718,2026-02-14,EUR
213.61,213.72,C00383,INV455168,2026-05-04,GBP
26628.03,26628.18,C00286,INV483542,2026-06-22,INR
159741.1,159741.35,C00327,INV489518,2026-03-09,INR
1203.53,1131.55,C00326,INV963874,2026-02-26,USD
860.25,860.3,C00276,INV242254,2026-01-25,EUR
53954.52,53954.35,C00336,INV203831,2026-02-09,INR
852.42,702.58,C00186,INV204180,2026-04-24,EUR
115.49,108.72,C00329,INV770556,2026-01-24,EUR
1749.81,1750.1,C00120,INV444519,2026-05-31,EUR
90.32,90.21,C00090,INV215266,2026-05-19,GBP
1581.16,1581.17,C00027,INV232915,2026-02-14,GBP
156721.66,156721.63,C00258,INV332311,2026-01-28,INR
1051.91,1008.57,C00246,INV988456,2026-01-08,USD
837.04,837.04,C00320,INV763829,2026-02-02,GBP
2143.76,2143.73,C00360,INV219971,2026-04-21,USD
79683.7,79683.62,C00174,INV967611,2026-02-28,INR
134289.3,134289.33,C00035,INV195656,2026-02-09,INR
1979.9,1979.63,C00344,INV228168,2026-05-31,GBP
1399.74,1466.23,C00181,INV208633,2026-03-15,GBP
1704.63,1704.7,C00220,INV986209,2026-05-27,EUR
1939.94,1939.73,C00015,INV289179,2026-06-18,GBP
97834.47,97834.44,C00036,INV248766,2026-06-18,INR
1276.3,1294.66,C00160,INV856648,2026-02-10,GBP
137115.05,133505.48,C00339,INV544611,2026-03-11,INR
75.68,75.46,C00024,INV331230,2026-05-15,GBP
418.42,418.42,C00168,INV225812,2026-03-07,GBP
98.23,98.28,C00037,INV516359,2026-06-21,GBP
61834.43,61834.5,C00364,INV771237,2026-05-27,INR
1261.3,1261.19,C00046,INV557925,2026-06-26,GBP
1157.33,1157.24,C00171,INV916964,2026-03-28,EUR
490.19,490.0,C00121,INV207798,2026-06-15,EUR
159358.43,159358.72,C00238,INV891093,2026-06-10,INR
677.75,559.52,C00078,INV561124,2026-03-24,GBP
774.73,774.66,C00189,INV972097,2026-01-10,USD
1463.41,1463.38,C00231,INV949153,2026-05-29,USD
497.59,497.39,C00259,INV777513,2026-03-29,USD
166.83,166.73,C00199,INV528625,2026-04-06,GBP
157823.94,157823.99,C00146,INV364236,2026-05-23,INR
1273.88,1273.81,C00159,INV787923,2026-02-06,GBP
1643.59,1643.54,C00344,INV836971,2026-03-26,EUR
516.24,516.02,C00186,INV423869,2026-04-03,USD
1862.71,1862.87,C00052,INV632351,2026-01-20,GBP
162964.8,162964.53,C00079,INV270128,2026-02-03,INR
1664.38,1664.57,C00228,INV740255,2026-04-04,EUR
2166.86,2166.88,C00189,INV811256,2026-05-01,EUR
181.14,181.27,C00310,INV245121,2026-02-11,EUR
1926.74,1927.01,C00146,INV187949,2026-05-13,USD
72579.07,70597.89,C00179,INV127965,2026-02-26,INR
1023.81,1023.79,C00075,INV244283,2026-06-16,GBP
699.34,699.11,C00041,INV119927,2026-06-07,USD
964.23,1003.42,C00155,INV227767,2026-03-15,EUR
73.33,73.43,C00368,INV250551,2026-06-11,EUR
1095.55,1095.28,C00035,INV651613,2026-05-15,GBP
763.4,763.56,C00130,INV883618,2026-04-10,GBP
1802.77,1802.89,C00023,INV469412,2026-03-27,EUR
